,classifier_id,data_id,attack_id,n,defense_id,id,def_name,classifier_name,train_time,attack_size,attack_name,attack_iter,attack_batch_size,attack_threshold,attack_time,ben_pred_time,ben_acc,ben_cov,ben_mean,ben_std,ben_resid,adv_pred_time,adv_acc,adv_cov,adv_mean,adv_std,adv_resid
e855ae3cb871c0cfed08b04afb392b6736d1358076bd7c91d9cfa42cf274fc51,f206fc57631a131329e300d2c862f1c1b87bb508d5c125b91ede752ee7613b7d,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,1730e49429e1d2ff8b357069e1da375b4238a52b7d25c5de9f353aef1c3a5261,60000,d863604ef959b471fde74fb448725e87ec97b70e10643c5c73c61c66681921b1,e855ae3cb871c0cfed08b04afb392b6736d1358076bd7c91d9cfa42cf274fc51,Feature Squeezing-bit_depth:2,Default Classifier,819.6572035480001,10,HopSkipJump,10,1024,0.03,6.30493265899986,1.2819326099997852,0.0974,1.0,0.10000000894069672,0.0171505156904459,7.838010795957473e-10,0.006870978999813815,0.0,1.0,0.10000000149011612,0.01715051382780075,7.838010795957473e-10
233864931c182e061fde00a28c6cfea69d2a45513e286138365b2bca1f50c945,f206fc57631a131329e300d2c862f1c1b87bb508d5c125b91ede752ee7613b7d,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,7f2d068c2fb8a1efc27d4c51e84bdedddcbd409de4c8f0535cb92fcd2af3c545,60000,d863604ef959b471fde74fb448725e87ec97b70e10643c5c73c61c66681921b1,233864931c182e061fde00a28c6cfea69d2a45513e286138365b2bca1f50c945,Feature Squeezing-bit_depth:2,Default Classifier,819.6572035480001,10,AdversarialPatch,10,1024,0.03,1.2359693289999996,1.2858003450000979,0.0974,1.0,0.10000000894069672,0.0171505156904459,7.838010795957473e-10,0.0069495120001192845,0.0,1.0,0.10000000149011612,0.2124783843755722,7.838010795957473e-10
954aa2445b01dadadc9596e10479e3cc2b9193e3d7ec0418f8a1aa7ac0ff5de4,f206fc57631a131329e300d2c862f1c1b87bb508d5c125b91ede752ee7613b7d,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,f0c37a6337c2ee6d830ffd5e201e034c29e05f52bbeb349cb1b6ded601791d8c,60000,d863604ef959b471fde74fb448725e87ec97b70e10643c5c73c61c66681921b1,954aa2445b01dadadc9596e10479e3cc2b9193e3d7ec0418f8a1aa7ac0ff5de4,Feature Squeezing-bit_depth:2,Default Classifier,819.6572035480001,10,Threshold Attack,10,1024,0.03,4.663833397999952,1.4166717010002685,0.0974,1.0,0.10000000894069672,0.0171505156904459,7.838010795957473e-10,0.006594015000246145,0.0,1.0,0.10000000149011612,0.01715051382780075,7.838010795957473e-10
dcf34790c26d72105c8d956da594bccbd76783519c12eb598ca51f1028c23f3e,ae1dfa7dec374db44f7df906d21a989ab3e1a8c6763891ab6d2b27830e44cecc,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,865f04f437e522df7fd525e19b878c630d8e58d4979ef47c182d847b31cbd15f,60000,a38be06c0803774042f3360dde3ac66a2ea13c3611c6fcd1c30018cbdb8bfebe,dcf34790c26d72105c8d956da594bccbd76783519c12eb598ca51f1028c23f3e,Feature Squeezing-bit_depth:4,Default Classifier,830.7226744630002,10,PGD-step_size:0.01,10,1024,0.03,1.1157723209998949,1.3035494659998221,0.0974,1.0,0.09999997913837433,0.016936246305704117,-7.942617230582982e-09,0.006748669999979029,0.0,1.0,0.09999999403953552,0.016936248168349266,-7.942617230582982e-09
febbd1e494545f1508d80088c1a5703a7e87e486abd00f562f061216572d5099,ae1dfa7dec374db44f7df906d21a989ab3e1a8c6763891ab6d2b27830e44cecc,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,0ccbdcf9cfbd0e2d6d70008dfb8ac427daaeacbb7b3fc0bc6262df7d2f470efc,60000,a38be06c0803774042f3360dde3ac66a2ea13c3611c6fcd1c30018cbdb8bfebe,febbd1e494545f1508d80088c1a5703a7e87e486abd00f562f061216572d5099,Feature Squeezing-bit_depth:4,Default Classifier,830.7226744630002,10,FGM-step_size:0.01,10,1024,0.03,2.6582788350001465,1.312036722999892,0.0974,1.0,0.09999997913837433,0.016936246305704117,-7.942617230582982e-09,0.007114659999842843,0.0,1.0,0.09999999403953552,0.016936248168349266,-7.942617230582982e-09
16a5a8b9ed565c5814f26f3125e451a258d21db90ad95ca73ffde5ca467ad190,ae1dfa7dec374db44f7df906d21a989ab3e1a8c6763891ab6d2b27830e44cecc,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,4529fdc8b927927d97fe4906823ae0248a8f165d43b8c755738b2207690ca93d,60000,a38be06c0803774042f3360dde3ac66a2ea13c3611c6fcd1c30018cbdb8bfebe,16a5a8b9ed565c5814f26f3125e451a258d21db90ad95ca73ffde5ca467ad190,Feature Squeezing-bit_depth:4,Default Classifier,830.7226744630002,10,PixelAttack,10,1024,0.03,1.1722100769998178,1.2844136259996048,0.0974,1.0,0.09999997913837433,0.016936246305704117,-7.942617230582982e-09,0.0076159410000400385,0.0,1.0,0.09999999403953552,0.016936248168349266,-7.942617230582982e-09
1a53a325c0c74379a6aa4661dfc2eb4f7452c63236793616fa79ea0400176964,ae1dfa7dec374db44f7df906d21a989ab3e1a8c6763891ab6d2b27830e44cecc,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,bb9103eb066a839d58a89df48883464113b7b2b840a70faa026eca0d3d1dfd57,60000,a38be06c0803774042f3360dde3ac66a2ea13c3611c6fcd1c30018cbdb8bfebe,1a53a325c0c74379a6aa4661dfc2eb4f7452c63236793616fa79ea0400176964,Feature Squeezing-bit_depth:4,Default Classifier,830.7226744630002,10,DeepFool,10,1024,0.03,98.1914512530002,1.2977413980001984,0.0974,1.0,0.09999997913837433,0.016936246305704117,-7.942617230582982e-09,0.007270372000220959,0.0,1.0,0.09999999403953552,0.016936248168349266,-7.942617230582982e-09
327d22d68127b58ad299dbf7bb71706327781c69cb0f632f6f70771edc078d37,ae1dfa7dec374db44f7df906d21a989ab3e1a8c6763891ab6d2b27830e44cecc,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,b4712c7b4e940a841ae20575a1f3e8dccab5c73bc963db2fd793bfcd335a95ca,60000,a38be06c0803774042f3360dde3ac66a2ea13c3611c6fcd1c30018cbdb8bfebe,327d22d68127b58ad299dbf7bb71706327781c69cb0f632f6f70771edc078d37,Feature Squeezing-bit_depth:4,Default Classifier,830.7226744630002,10,HopSkipJump,10,1024,0.03,6.294482535000043,1.2894502740000462,0.0974,1.0,0.09999997913837433,0.016936246305704117,-7.942617230582982e-09,0.007152753999889683,0.0,1.0,0.09999999403953552,0.016936248168349266,-7.942617230582982e-09
685618296c6e7fefdbf07978cbe9c5cd8bb19ae7f8c4a8a7d6208ad7d960d685,ae1dfa7dec374db44f7df906d21a989ab3e1a8c6763891ab6d2b27830e44cecc,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,7f2d068c2fb8a1efc27d4c51e84bdedddcbd409de4c8f0535cb92fcd2af3c545,60000,a38be06c0803774042f3360dde3ac66a2ea13c3611c6fcd1c30018cbdb8bfebe,685618296c6e7fefdbf07978cbe9c5cd8bb19ae7f8c4a8a7d6208ad7d960d685,Feature Squeezing-bit_depth:4,Default Classifier,830.7226744630002,10,AdversarialPatch,10,1024,0.03,1.239922111999931,1.2791530559998137,0.0974,1.0,0.09999997913837433,0.016936246305704117,-7.942617230582982e-09,0.006779366000046139,0.0,1.0,0.09999999403953552,0.21246980130672455,-7.942617230582982e-09
a607fc577f11b0e9c208847e6bebcb6da2e38996c55b430936505e73979ccd23,ae1dfa7dec374db44f7df906d21a989ab3e1a8c6763891ab6d2b27830e44cecc,a39766b372edf58815b9655fd4c457e035a5571caf4d8de0f2a7d0674a748b02,f0c37a6337c2ee6d830ffd5e201e034c29e05f52bbeb349cb1b6ded601791d8c,60000,a38be06c0803774042f3360dde3ac66a2ea13c3611c6fcd1c30018cbdb8bfebe,a607fc577f11b0e9c208847e6bebcb6da2e38996c55b430936505e73979ccd23,Feature Squeezing-bit_depth:4,Default Classifier,830.7226744630002,10,Threshold Attack,10,1024,0.03,4.692811424000411,1.3960651899997174,0.0974,1.0,0.09999997913837433,0.016936246305704117,-7.942617230582982e-09,0.007121567000012874,0.0,1.0,0.09999999403953552,0.016936248168349266,-7.942617230582982e-09
