,adv_acc,adv_cov,adv_prec,adv_pred_time,adv_rec,attack_batch_size,attack_id,attack_iter,attack_name,attack_size,attack_threshold,attack_time,ben_acc,ben_cov,ben_pred_time,classifier_id,classifier_name,data_id,def_name,defense_id,id,n,train_time
348,0.05,,,27.15983168399908,,1024,f27078f4cdfc98be42f24d0a37e69d51b540fdb49adece948deb0e76918013cc,10,PGD-step_size:0.1-norm:2,100,0.03,284.7744079689983,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,8a96652e5ffae8c975bd5719bab31741cf39df860512073add888c3bd7cefaaf,50000,485.9433304739996
349,0.05,,,27.18913012899793,,1024,c3563d3945809881a6358c27f9d18177b164741451299513711054800cb88ff5,10,PGD-step_size:0.1-norm:inf,100,0.03,286.399400317001,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,e1c0038e5160626a422877e7b52cc589f0ae407e991391dcceaaa16b4de36afb,50000,485.9433304739996
350,0.05,,,25.96125985400068,,1024,0afaaf9eaee61bf36321e475184d7f6ded39e1154124837c30a23b63b2f93ad3,10,FGM-step_size:0.001-norm:1,100,0.03,70.61304317399845,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,93fdb9285de54498577fe8c7a540e82af392f17f969aa94f46cc48f4549a9e31,50000,485.9433304739996
351,0.05,,,27.910946374999185,,1024,202b8e3b355e17b2551e17ac82037bd3b682ac4b4a09ade5d2ab6372e12d4b9e,10,FGM-step_size:0.001-norm:2,100,0.03,67.26024014200084,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,6f998ba1c5798357f763f9305ea8d70b8297f35324cbe166e91a61a78e973f3d,50000,485.9433304739996
352,0.08,,,26.54926158099988,,1024,c71b54f099e19c81142dd9345192cdc61815cafdf3cd754dc3427b38d97dc74d,10,FGM-step_size:0.001-norm:inf,100,0.03,70.55380813100055,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,bc85742dfc07149b341db7a21db1ca98e118feca79881afa3cff5244d880383c,50000,485.9433304739996
353,0.06,,,26.12951050099946,,1024,6babd95e5be63ef6c53801fbc7505f7a96effbe7177115fb30ebff6466719893,10,FGM-step_size:0.01-norm:1,100,0.03,69.26540662800107,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,830b3e8d51bbd1d58aeee4c0beeb05c9e1efe13751fa0c7d9dad876d419bf6a1,50000,485.9433304739996
354,0.07,,,27.370558963000803,,1024,693186ab3d4cefefbcd43bfc67ce3150f8ec78bb40c6c1249d077512ddf08d05,10,FGM-step_size:0.01-norm:2,100,0.03,67.472534575998,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,f6efbbbb253972299bec9b0a0190564f865b425e06020fc09e3328cc55096a71,50000,485.9433304739996
355,0.07,,,26.87586839700089,,1024,65ac65c937887b1d835436411559d587b70722ee5c2af71d5cd98712b5cfbdbf,10,FGM-step_size:0.01-norm:inf,100,0.03,66.90707587900033,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,5748ce7cbcfa5a55c8984634beebd6551bd29c4e846a2048e617dbf1a3f1896c,50000,485.9433304739996
356,0.07,,,27.37223833299868,,1024,62f77543b1e24bd0ccc04eecbf72ba48325c15d7da3d72c695c1d944f30c1e06,10,FGM-step_size:0.1-norm:1,100,0.03,67.59240352399866,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,519a581679503ae69bad30cb38711848a087c861ce147ea8a7967a6990dcd05f,50000,485.9433304739996
357,0.05,,,27.805580796000868,,1024,8acb5ae5d3249ddff6e0e3657451585d1033b7ea8caca07e637f8ec24c4cacca,10,FGM-step_size:0.1-norm:2,100,0.03,69.91985721699893,0.1057,,2668.997444105,ed83aee7b057ce5fb3bd767fbf94557e25437ef00f210e61601568fab3d52038,Default Classifier,283333b43c0c6eafd5fe2f000bbe99b827849465041c35f728146bf05c8f48e0,TVM-prob:0.1,bdb7373e307b42f53858610dff0c339dbcae0105bbd5329a3fdf352fd78cba5c,06aabbebec0ab11734454c48da0e1c30c7ccdafe8e99475583133b0cbeccf643,50000,485.9433304739996
